internet explorer,internet_explorer
user rights,user_rights
current user,current_user
logged on,logged_on
microsoft edge,microsoft_edge
remote code execution,remote_code_execution
microsoft windows,microsoft_windows
scripting engines,scripting_engines
require restart,require_restart
windows print spooler components,windows_print_spooler_components
print server,print_server
target network,target_network
microsoft office,microsoft_office
windows secure kernel mode,windows_secure_kernel_mode
web apps,web_apps
microsoft office services,microsoft_office_services
information disclosure,information_disclosure
windows kernel-mode drivers,windows_kernel-mode_drivers
elevation of privilege,elevation_of_privilege
.net framework,.net_framework
microsoft .net framework,microsoft_.net_framework
xml file,xml_file
web-based application,web-based_application
low integrity application,low_integrity_application
object manager,object_manager
security feature bypass,security_feature_bypass
adobe flash player,adobe_flash_player
windows 8.1,windows_8.1
windows server 2012,windows_server_2012
windows rt 8.1,windows_rt_8.1
windows server 2012 r2,windows_server_2012_r2
windows 10,windows_10
secure boot,secure_boot
security features,security_features
affected policy,affected_policy
target device,target_device
physical access,physical_access
administrative privileges,administrative_privileges
